city,country,lat,lng,date,temp,humidity,cloudiness,wind_speed
Cabo San Lucas,MX,22.89,-109.91,1583820912,72.28,46,90,5.82
Tomatlán,MX,19.93,-105.25,1583821192,68.74,68,93,2.53
Biak,ID,-0.91,122.88,1583821192,84.22,74,41,14.14
Santa Clara,CU,22.4,-79.97,1583821077,68.0,88,40,3.36
Beringovskiy,RU,63.05,179.32,1583821193,0.52,99,97,1.52
San Andrés,CO,12.58,-81.7,1583821133,78.8,83,40,11.41
Nikolskoye,RU,59.7,30.79,1583821193,35.78,88,40,4.47
Dingle,PH,11.0,122.67,1583821193,88.18,54,0,7.94
Gamba,GA,-2.65,10.0,1583821193,78.64,91,94,2.68
Nanpiao,CN,41.1,120.75,1583821193,41.38,23,0,18.48
Owensboro,US,37.77,-87.11,1583821154,58.41,100,90,16.11
Marsh Harbour,BS,26.54,-77.06,1583821193,70.36,71,3,25.12
Necochea,AR,-38.55,-58.74,1583821194,48.99,89,100,1.99
Bethel,US,41.37,-73.41,1583820970,51.98,30,1,8.05
Jalu,LY,29.03,21.55,1583821194,55.6,68,0,4.07
Whitehorse,CA,60.72,-135.05,1583821194,19.81,85,40,10.29
Semnan,IR,35.57,53.4,1583821194,49.3,27,0,2.62
Dayong,CN,25.02,118.29,1583821194,75.2,57,20,4.47
Katobu,ID,-4.94,122.53,1583821194,90.16,56,32,6.85
Bungu,TZ,-7.63,39.06,1583821194,79.72,89,100,2.68
Irbeyskoye,RU,55.64,95.45,1583821194,26.08,88,100,12.62
Norman Wells,CA,65.28,-126.83,1583821195,-14.8,75,75,3.36
Dongtai,CN,32.85,120.31,1583821195,53.98,57,81,13.87
Birao,CF,10.28,22.79,1583821195,81.88,14,6,11.95
Galveston,US,29.37,-94.97,1583821195,67.5,93,20,11.41
Ürümqi,CN,43.8,87.6,1583821195,32.0,31,0,2.24
Distrikt Brokopondo,SR,4.75,-55.17,1583821195,71.98,86,71,6.6
Micheweni,TZ,-4.97,39.83,1583821195,84.58,70,99,3.87
Shiraz,IR,29.6,52.54,1583821155,51.8,20,0,4.7
Kiomboi,TZ,-4.27,34.37,1583821196,62.98,96,100,3.62
Rosetta,EG,31.4,30.42,1583821196,50.0,87,20,2.24
Khargone,IN,21.82,75.6,1583821196,87.64,21,4,9.26
